Subquery,Response,Category,Subcategory
What is Fezolinetant 45 mg used for?,"Effectiveness: 2 weeks compared to placebo (mean difference from placebo: -1.5 (0.5); p=0.004. Side effects: nan. Important: Current use of a prohibited therapy (any pharmacologic treatment for VMS), known substance or alcohol use disorder, history of suicide attempt, previous/current history of malignant tumor, high systolic (≥ 130 mmHg) or diastolic (≥80 mmHg) blood pressure, severe allergy or intolerance to drugs, presence of disordered proliferative endometrium, endometrial hyperplasia, or endometrial cancer, or has any other medical disorder that could confound study outcome.",Neurokinin-3 receptor antagonist,General Information
What is Escitalopram nan used for?,Effectiveness: nan Side effects: No adverse events greater than placebo arms.,Not specified,General Information
What is HRT(Estrogen-only ) nan used for?,"Effectiveness: Effective in alleviating menopausal symptoms Side effects: - Increased risk of endometrial cancer (if taken without progestogen and if the uterus is intact)
 - Increased risk of blood clots
 - Increased risk of stroke
 - Potential increase in breast cancer risk.",Not specified,General Information
What is HRT(Combined) nan used for?,"Effectiveness: nan Side effects: - Breast tenderness
 - Nausea
 - Abdominal pain
 - Bloating
 - Vaginal bleeding
 - Increased risk of blood clots and stroke.",Not specified,General Information
"What is Local estrogen (vaginal creams, rings, or tablets) nan used for?",Effectiveness: Effective in alleviating urogenital symptoms Side effects: - Vaginal discharge<br>- Irritation<br>- Burning or itching in the vaginal area.,Not specified,General Information
What is Fezolinetant 30 mg used for?,Effectiveness: nan Side effects: nan.,Neurokinin-3 receptor antagonist,General Information
What is Fezolinetant 45 mg used for?,Effectiveness: -0.2 Side effects: nan.,Neurokinin-3 receptor antagonist,General Information
What is Estradiol / DRSP 1 mg / 1 mg used for?,Effectiveness: NR Side effects: nan.,MHT - Menopausal Hormone Therapy,General Information
What is Estradiol / DRSP 1 mg/ 2 mg used for?,Effectiveness: -0.30§ Side effects: nan.,MHT - Menopausal Hormone Therapy,General Information
What is Estradiol / DRSP 1 mg / 3 mg used for?,Effectiveness: NR Side effects: nan.,MHT - Menopausal Hormone Therapy,General Information
What is Estradiol / Progesterone 1 mg / 100 mg used for?,Effectiveness: -0. 56†§  ? Side effects: nan.,MHT - Menopausal Hormone Therapy,General Information
What is Estradiol / Progesterone 0.5 mg / 100 mg used for?,Effectiveness: -0.34†§  ? Side effects: nan.,MHT - Menopausal Hormone Therapy,General Information
What is Estradiol / Progesterone 0.5 mg / 50 mg used for?,Effectiveness: -0.20† ? Side effects: nan.,MHT - Menopausal Hormone Therapy,General Information
What is Estradiol 0.5 mg used for?,Effectiveness: -0.3*§ Side effects: nan.,MHT - Menopausal Hormone Therapy,General Information
What is Venlafaxine 75 mg used for?,Effectiveness: -0.2* Side effects: nan.,SNRI,General Information
What is Estradiol / NETA 0.5 mg / 0.1 mg used for?,Effectiveness: P Side effects: nan.,MHT - Menopausal Hormone Therapy,General Information
What is Estradiol / NETA 0.5 mg / 0.25 mg used for?,Effectiveness: P Side effects: nan.,MHT - Menopausal Hormone Therapy,General Information
What is Estradiol / DYD 1 mg / 5 mg used for?,Effectiveness: NR Side effects: nan.,MHT - Menopausal Hormone Therapy,General Information
What is Estradiol / DYD 0.5 mg / 2.5 mg used for?,Effectiveness: NR Side effects: nan.,MHT - Menopausal Hormone Therapy,General Information
What is Estradiol / DRSP 0.5 mg / 0.25 mg used for?,Effectiveness: -0.80§ Side effects: nan.,MHT - Menopausal Hormone Therapy,General Information
What is Estradiol / DRSP 0.5 mg / 0.5 mg used for?,Effectiveness: -1.07§ Side effects: nan.,MHT - Menopausal Hormone Therapy,General Information
What is Estradiol Transdermal System 0.2 mg used for?,Effectiveness: NR Side effects: nan.,MHT - Menopausal Hormone Therapy,General Information
What is Estradiol Transdermal System 0.4 mg used for?,Effectiveness: NR Side effects: nan.,MHT - Menopausal Hormone Therapy,General Information
What is Desvenlafaxine 100 mg used for?,Effectiveness: -0.33§  ? Side effects: nan.,SNRI,General Information
What is Desvenlafaxine 150 mg used for?,Effectiveness: -0.09 ? Side effects: nan.,SNRI,General Information
What is Desvenlafaxine 200 mg used for?,Effectiveness: -0.25§ Side effects: nan.,SNRI,General Information
What is Escitalopram 10 mg used for?,Effectiveness: -0.22 Side effects: nan.,SSRI,General Information
What is Paroxetine 7.5 mg used for?,Effectiveness: -0.1† or -0.05† Side effects: nan.,SSRI,General Information
What is Gabapentin 900 mg used for?,Effectiveness: -11.8‡† Side effects: nan.,Anticonvulsant ?,General Information
What is Gabapentin Gastroretentive 1800 mg used for?,Effectiveness: -0.19 Side effects: nan.,Gabapentin,General Information
What is fezolinetant 45mg used for?,"Effectiveness: -1.5 Side effects: Headache; in larger doses, elevated liver enzymes (ALT and AST). Important: Current use of a prohibited therapy (any pharmacologic treatment for VMS), known substance or alcohol use disorder, history of suicide attempt, previous/current history of malignant tumor, high systolic (≥ 130 mmHg) or diastolic (≥80 mmHg) blood pressure, severe allergy or intolerance to drugs, presence of disordered proliferative endometrium, endometrial hyperplasia, or endometrial cancer, or has any other medical disorder that could confound study outcome.",fezolinetant,General Information
What is DRSP 1mg used for?,"Effectiveness: nan Side effects: Uterine bleeding (more reports of various serious adverse events). Important: Contraindications for MHT, treatment with anticoagulant medications, recent use of oral, transdermal, or transvaginal hormonal preparations. Past medical history for cardiovascular disease, depression, diabetes, hypertension, or other diseases that could affect the study results.",DSRP,General Information
What is DRSP 2mg used for?,Effectiveness: nan Side effects: Uterine bleeding (more reports of various serious adverse events).,DSRP,General Information
What is DRSP 3mg used for?,Effectiveness: nan Side effects: Uterine bleeding (more reports of various serious adverse events).,DSRP,General Information
What is Estradiol and NETA 0.5 mg and1 mg used for?,"Effectiveness: nan Side effects: nan. Important: Recent exposure to MHT. Suspected or previous history of breast cancer or estrogen- dependent neoplasia, untreated endometrial hyperplasia and abnormal genital bleeding. History of diabetes mellitus, hypertension, any thrombo-embolic conditions and hepatic or renal impairment.",Estradiol and NETA,General Information
What is Estradiol and NETA 0.5 mg and 0.25 mg used for?,"Effectiveness: nan Side effects: nan. Important: Recent exposure to MHT. Suspected or previous history of breast cancer or estrogen- dependent neoplasia, untreated endometrial hyperplasia and abnormal genital bleeding. History of diabetes mellitus, hypertension, any thrombo-embolic conditions and hepatic or renal impairment.",Estradiol and NETA,General Information
What is Paroxetine 7.5 mg used for?,"Effectiveness: nan Side effects: Nausea, fatigue.",Paroxetine,General Information
What is Gabapentin 1800 mg used for?,"Effectiveness: -3.1 Side effects: Dizziness, headache, and somnolence. Important: Current treatment with MHT; history of gastric reduction; substance abuse within the past year; or any serious medical condition. Concomitant treatment of hot flashes except antidepressant with unchanged dosages were permitted.",Gabapentin,General Information
